    "DIA_Markus_Hello_15_00": "Кто ты?",
    "DIA_Markus_Hello_13_01": "Меня зовут Маркус, я охотник.",
    "DIA_Markus_Hello_13_02": "Я слежу за тем, чтобы звери не подходили слишком близко к деревне и фермерским угодьям.",
    "DIA_Markus_Refugee_15_01": "Ты местный, но не жалуешься на беженцев.",
    "DIA_Markus_Refugee_13_02": "Когда я приехал сюда много лет назад, ко мне относились так же плохо, как и к тебе. Тогда тут тоже было нашествие полевых хищников, от чего местным жителям было не легче.",
    "DIA_Markus_Refugee_13_03": "Всё изменилось, когда люди узнали, что я охотник.",
    "DIA_Markus_Refugee_13_04": "С этого момента они начали относиться ко мне с уважением. А некоторые даже стали моими друзьями.",
    "DIA_Markus_Refugee_13_05": "Выполнив заказ, я решил ненадолго здесь остаться. Время шло, животных меньше не становилось – так я и живу тут по сей день.",
    "DIA_Markus_tips_15_00": "Можешь дать мне совет по стрельбе из лука?",
    "DIA_Markus_tips_13_01": "Когда дело доходит до стрельбы по животным, правило простое: убей до того, как оно доберётся до тебя...",
    "DIA_Markus_tips_13_02": "...а, что касается людей, которых ты не хочешь убивать...",
    "DIA_Markus_tips_13_03": "Когда ты увидишь, что твой противник при смерти, прицелься и стреляй ему в ноги. Таким образом он потеряет равновесие, но при этом ты его не убьёшь.",
    "DIA_Markus_tips_13_04": "Если повезёт, ты не выбьешь ему колено, а противник даже сможет подняться, когда очнётся.",
    "DIA_Markus_OthSheep_15_01": "Ты не видел овцу, которая бродит сама по себе?",
    "DIA_Markus_OthSheep_13_02": "Да, я видел такую, но это было давно, и животное уже мертво.",
    "DIA_Markus_OthSheep_15_03": "Как это произошло?",
    "DIA_Markus_OthSheep_13_04": "Я патрулировал территорию возле реки, когда вдруг услышал рык животного, доносящийся из близлежащего обрыва.",
    "DIA_Markus_OthSheep_13_05": "Я побежал посмотреть, что случилось, и увидел, как волк напал на овцу. Она, должно быть, упала со склона, потому что копыта были сломаны, а она жалобно блеяла испытывая агонию.",
    "DIA_Markus_OthSheep_13_06": "Я легко расправился с волком, но у овцы не было шансов. Мне ничего не оставалось, кроме как избавить её от мучений.",
    "DIA_Markus_OthSheep_15_07": "Как выглядела эта овца?",
    "DIA_Markus_OthSheep_13_08": "Овца как овца, только одно из ушей было оторвано. Возможно, волк просто откусил его.",
    "DIA_Markus_trainMe_15_00": "Я бы хотел узнать больше о стрельбе из лука.",
    "DIA_Markus_trainMe_13_01": "Больше? Моих советов тебе недостаточно?",
    "DIA_Markus_trainMe_15_02": "Нет. Мне бы не помешало немного практических знаний.",
    "DIA_Markus_trainMe_13_03": "Хорошо, я могу показать тебе, как правильно держать лук, как умело им пользоваться и как сделать свой собственный, но это стоит золота.",
    "DIA_Markus_trainMe_13_04": "Я не могу тратить время, которое провёл бы на охоте зарабатывая деньги, понимаешь?",
    "DIA_Markus_trainMe_13_05": "Ещё я могу научить тебя добывать трофеи животных – от простой до специфической дичи, например, вырывание клыков, мандибул или извлечение ядовитых желёз и крыльев шершней.",
    "DIA_Markus_Teach_15_00": "Научи меня.",
    "DIA_Markus_Teach_13_01": "Конечно.",
    "DIA_Markus_Teach_BOW1_13_01": "Этого недостаточно, принеси ещё золота.",
    "DIA_Markus_Teach_BOW5_13_01": "Кажется, у тебя не хватает золота.",
    "DIA_Markus_TeachDEX_13_01": "Этого недостаточно, принеси ещё золота.",
    "DIA_Markus_Teach_13_05": "Кажется, у тебя не хватает золота.",
    "DIA_Markus_SQ115_Boar_15_01": "Где я могу найти кабана?",
    "DIA_Markus_SQ115_Boar_03_02": "Кабаны – опасные животные, обычно они питаются в густых лесах. Я видел несколько особей недалеко от южных ворот Зильбаха, но большинство обитает в лесах к востоку от деревни.",
    "DIA_Markus_SQ115_Boar_03_03": "Собираешься на охоту?",
    "DIA_Markus_SQ115_Boar_15_04": "Я должен добыть их мясо.",
    "DIA_Markus_SQ115_Boar_03_05": "На твоём месте я бы просто купил мясо кабана у какого-нибудь торговца.",
    "DIA_Markus_SQ115_Boar_03_06": "Кабаны обычно ходят группами, что может быть смертельно опасно для неопытных охотников.",
    "DIA_Markus_TeachBack_13_01": "Подожди-ка...",
    "DIA_Markus_TeachBack_15_02": "Что такое?",
    "DIA_Markus_TeachBack_13_03": "Я считаю... ты довольно способный ученик. С тобой приятно работать. Вот, пусть это мотивирует тебя продолжать оттачивать свои навыки.",
    "DIA_Markus_TeachBack_15_04": "Спасибо.",
    "DIA_Markus_SQ118_Help_15_01": "Можешь ненадолго подменить Фолкарда на воротах?",
    "DIA_Markus_SQ118_Help_03_02": "Ну, почему бы и нет? Только принеси мне бутылку вина и кусок ветчины, чтобы скоротать время.",
    "DIA_Markus_SQ118_GotFood_15_01": "У меня есть то, что ты просил.",
    "DIA_Markus_SQ118_GotFood_03_02": "Отлично, я переговорю с Фолкардом по поводу деталей.",
    "DIA_Markus_Q205_Forest_03_01": "Так ты ищешь своих друзей-стражников, да? Мы можем объединить усилия и вместе отправиться в лес. В последнее время там стало опасней.",
    "DIA_Markus_Q205_Forest_03_02": "Я бы хотел проверить все эти слухи о Звере. Я уже несколько дней пытаюсь выследить его, но не хочу в одиночку углубляться в лес.",
    "DIA_Markus_Q205_Forest_03_03": "Если эти стражники были в таком состоянии, как их описал Киппер, то найти их след не составит особого труда.",
    "DIA_Markus_Q205_Forest_Yes_15_01": "Хорошо, тогда идём.",
    "DIA_Markus_Q205_Forest_Yes_03_02": "Следуй за мной.",
    "DIA_Markus_Q205_Forest_No_15_01": "У меня остались ещё кое-какие дела.",
    "DIA_Markus_Q205_Forest_No_03_02": "Я буду ждать здесь.",
    "DIA_Markus_Q205_Beer_03_01": "Как я и думал, следы их веселья есть даже тут. Они пошли вдоль дороги.",
    "DIA_Markus_Q205_Camp_Next_03_01": "Удачи тебе в поиске твоих приятелей!",
    "DIA_Markus_Q205_Camp_Next_15_02": "Удачной охоты, Маркус.",
    "DIA_Markus_Q205_Camp_03_01": "Здесь они ненадолго задержались.",
    "DIA_Markus_Q205_Camp_03_02": "Видишь эти срубленные деревья и остатки мяса? Наверное, они на что-то охотились и решили устроить здесь привал. Похоже, их было не меньше десяти.",
    "DIA_Markus_Q205_Camp_More_15_01": "Видишь что-нибудь ещё?",
